pair,strategy_name,archetype,timeframe,status,promotion_status,date_added,date_rejected,trade_count,profit_factor,net_pnl,max_drawdown,expectancy,win_rate,sample_period,walk_forward_pf,oos_result,cross_pair_result,failure_modes,metric_source,last_evaluation,notes
EURUSD,double_top_bottom_reversal,pattern-based reversal,15m,frozen,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_double_top_bottom_reversal.md,EURUSD 15m 2018-2024 diagnostics,Pattern-heavy reversal branch frozen.
EURUSD,false_breakout_reversal,session reversal / sweep reversal,15m,active,multi_year_validated,2026-03-09,,1014.0,,-0.012389,0.028868,,,2018-2024,,,,,docs/research/false_breakout_reversal_multiyear_validation.md,EURUSD 15m 2018-2024 multi-year validation,"Surviving reversal archetype; keep this family active, but promotion still stops short of paper-trade status."
EURUSD,filtered_london_breakout,session breakout continuation,15m,frozen,rejected,2026-03-11,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,false_breakout_noise,docs/strategy_filtered_london_breakout.md,EURUSD 15m 2018-2024 diagnostics,Minor filtered variant of the same continuation tree; frozen to avoid branch proliferation.
EURUSD,head_shoulders_reversal,pattern-based reversal,15m,frozen,rejected,2026-03-12,,13066.0,0.8172,-0.8713,0.8857,-6.67e-05,0.3676,EURUSD 15m 2018-2024 smoke backtest,,,,no_edge_after_costs,docs/strategy_head_shoulders_reversal.md,EURUSD 15m 2018-2024 smoke backtest,Classical pattern MVP failed clearly; pattern family frozen.
EURUSD,impulse_session_open,event-combination strategies,15m,frozen,rejected,2026-03-13,,,,,,,,EURUSD 15m 2018-2024 smoke backtest,,,,,docs/strategy_impulse_session_open.md,EURUSD 15m 2018-2024 smoke backtest,Session-open momentum variant is frozen with the rest of the open variants.
EURUSD,liquidity_sweep_reversal,session reversal / sweep reversal,15m,frozen,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_liquidity_sweep_reversal.md,EURUSD 15m 2018-2024 diagnostics,Generic sweep reversal branch stays frozen.
EURUSD,london_impulse_ny_reversal,session reversal / sweep reversal,15m,frozen,rejected,2026-03-12,,270.0,0.8625,-0.01193,0.0182,-4.42e-05,0.4593,EURUSD 15m 2018-2024 diagnostics,,,,no_edge_after_costs,docs/strategy_london_impulse_ny_reversal.md,EURUSD 15m 2018-2024 diagnostics,Transition-reversal branch is frozen; includes the negative London-open fade MVP.
EURUSD,london_open_impulse_fade,session reversal / sweep reversal,15m,frozen,rejected,2026-03-12,,270.0,0.8625,-0.01193,0.0182,-4.42e-05,0.4593,2018-2024,,,,no_edge_after_costs,docs/strategy_london_impulse_ny_reversal.md,EURUSD 15m 2018-2024 smoke backtest,Session-open fade variants are frozen.
EURUSD,london_pullback_continuation,session breakout continuation,15m,rejected,rejected,2026-03-10,,571.0,0.8789,-0.0331946428571549,0.037733214285717964,-5.8134225669273025e-05,0.4326,2018-2024,,,,"false_breakout_noise,no_edge_after_costs",docs/strategy_london_pullback_continuation.md,EURUSD 15m 2018-2024 smoke + Phase 5 portfolio recheck,Old continuation survivor no longer deserves active status after repeated negative evidence and portfolio drag.
EURUSD,london_pullback_continuation_refined,session breakout continuation,15m diagnostic,frozen,diagnostic,2026-03-11,,,,,,,,EURUSD 15m 2018-2024 refined continuation diagnostic,,,,false_breakout_noise,docs/strategy_london_pullback_continuation_refined.md,EURUSD 15m 2018-2024 refined continuation diagnostic,Diagnostic-only refinement of the continuation branch; kept for historical reference after the family was frozen.
EURUSD,london_range_breakout,session breakout continuation,15m,exploratory,diagnostic,2026-03-11,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,false_breakout_noise,docs/strategy_london_range_breakout.md,EURUSD 15m 2018-2024 diagnostics,"Historical diagnostic branch kept as reference for the breakout archetype, not as a separate expansion path."
EURUSD,multi_day_momentum_continuation,trend / momentum,1d diagnostic,rejected,rejected,2026-03-11,,,,,,,,EURUSD 15m 2018-2024 aggregated-to-daily diagnostic,,,,,docs/strategy_multi_day_momentum_continuation.md,EURUSD 15m 2018-2024 aggregated-to-daily diagnostic,Early precursor to Phase 2; superseded by the formal trend family.
EURUSD,ny_impulse_mean_reversion,event-combination strategies,15m,rejected,rejected,2026-03-10,,129.0,1.4637,0.0375,0.01489,,,2018-2024,1.1459,fail,fail,"yearly_concentration,portfolio_redundant",docs/experiments/ny_impulse_mean_reversion_validation.md,EURUSD 15m 2018-2024 focused validation,"Raw thresholded behavior exists, but OOS trade density, yearly concentration, and portfolio context are too weak to keep the sleeve active."
GBPUSD,ny_impulse_mean_reversion,event-combination strategies,15m,rejected,rejected,2026-03-10,,125.0,0.9019,,,,,2018-2024 historical,,,fail,"portfolio_redundant,no_edge_after_costs",docs/cross_pair_robustness.md,GBPUSD 15m 2018-2024 cross-pair robustness sweep,Cross-pair robustness batch showed GBPUSD below PF 1.0 in both historical and forward ranges.
EURUSD,ny_liquidity_sweep_reversal,session reversal / sweep reversal,15m,frozen,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_ny_liquidity_sweep_reversal.md,EURUSD 15m 2018-2024 diagnostics,NY sweep variant is frozen with the rest of the sweep-only tree.
EURUSD,range_midpoint_reversion,VWAP / midpoint mean reversion,15m,rejected,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_range_midpoint_reversion.md,EURUSD 15m 2018-2024 diagnostics,Midpoint-reversion variant did not earn a live branch.
EURUSD,session_breakout,session breakout continuation,15m,frozen,rejected,2026-03-08,,343.0,0.8498,-0.02271,0.0253,,,2018-2024,0.8498,fail,,"false_breakout_noise,no_edge_after_costs",docs/experiments/candidate_strengthening_results.md,EURUSD 15m 2018-2024 focused rerun + walk-forward,Even the best `07:00-08:00 UTC` + breakout-buffer refinement stayed negative in sample and OOS; freeze the continuation slot.
EURUSD,session_breakout_continuation,session breakout continuation,15m,exploratory,diagnostic,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 research mapping,,,,false_breakout_noise,docs/strategy_session_breakout_continuation.md,EURUSD 15m 2018-2024 research mapping,"Archetype-level mapping doc; retained as reference, not as a license to keep spawning close variants."
EURUSD,session_liquidity_sweep_reversal,session reversal / sweep reversal,15m,rejected,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_session_liquidity_sweep_reversal.md,EURUSD 15m 2018-2024 diagnostics,Session-specific sweep variant did not earn a continued branch.
EURUSD,session_vwap_reversion,VWAP / midpoint mean reversion,15m,frozen,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_session_vwap_reversion.md,EURUSD 15m 2018-2024 diagnostics,Historical VWAP/session reversion branch; frozen.
EURUSD,trend_exhaustion_reversal,pattern-based reversal,15m,rejected,rejected,2026-03-12,,5734.0,0.785,-0.4293,0.4421,-7.49e-05,0.4409,EURUSD 15m 2018-2024 smoke backtest,,,,no_edge_after_costs,docs/strategy_trend_exhaustion_reversal.md,EURUSD 15m 2018-2024 smoke backtest,Reversal-style exhaustion setup did not survive testing.
EURUSD,tsmom_donchian,trend / momentum,1d,rejected,rejected,2026-03-13,,34.0,1.3313,0.085747,0.154894,-0.002029,,2018-2024,0.7004,fail,,"too_few_trades,no_edge_after_costs",docs/experiments/tsmom_initial_results.md,EURUSD 1d 2018-2024 walk-forward,Thin-sample breakout variant rejected in current form.
EURUSD,tsmom_ma_cross,trend / momentum,1d,rejected,rejected,2026-03-13,,396.0,1.1432,0.183034,0.11571,0.001085,,2018-2024,1.3655,fail,,"parameter_instability,overfit_parameter",docs/experiments/tsmom_initial_results.md,EURUSD + GBPUSD 1d session-aligned walk-forward,Session-aware daily bars overturned the earlier exploratory GBPUSD strength; the narrow neighborhood now fails on both pairs.
GBPUSD,tsmom_ma_cross,trend / momentum,1d,rejected,rejected,2026-03-13,,594.0,0.8744,-0.20409,0.23982,,,2018-2024,0.8744,fail,fail,"parameter_instability,overfit_parameter,portfolio_redundant,no_edge_after_costs",docs/experiments/candidate_strengthening_results.md,EURUSD + GBPUSD 1d session-aligned walk-forward,Session-aware daily bars overturned the earlier exploratory GBPUSD strength; the narrow neighborhood now fails on both pairs.
EURUSD,tsmom_return_sign,trend / momentum,1d,rejected,rejected,2026-03-13,,508.0,1.0594,0.082512,0.181043,0.000639,,2018-2024,1.244,fail,,,docs/experiments/tsmom_initial_results.md,EURUSD 1d 2018-2024 walk-forward; GBPUSD spot check,"Trend family remains active, but this variant still failed drawdown and concentration gates."
GBPUSD,tsmom_return_sign,trend / momentum,1d,rejected,rejected,2026-03-13,,204.0,1.1416,0.118391,0.085765,,,2018-2024,1.1416,fail,fail,portfolio_redundant,docs/experiments/tsmom_initial_results.md,EURUSD 1d 2018-2024 walk-forward; GBPUSD spot check,"Trend family remains active, but this variant still failed drawdown and concentration gates."
EURUSD,volatility_expansion_after_compression,event-combination strategies,15m,frozen,rejected,2026-03-12,,1956.0,0.7658,-0.1594,0.17,,0.3569,2018-2024,,,,no_edge_after_costs,docs/strategy_volatility_expansion_after_compression.md,EURUSD 15m 2018-2024 diagnostic + MVP tests,Family investigated broadly and frozen after repeated failure.
EURUSD,vwap_band_reversion_filtered,VWAP / midpoint mean reversion,15m,frozen,rejected,2026-03-12,,,,,,,,EURUSD 15m 2018-2024 diagnostics,,,,,docs/strategy_vwap_band_reversion_filtered.md,EURUSD 15m 2018-2024 diagnostics,Filtering did not change the conclusion; frozen.
EURUSD,vwap_intraday_reversion,VWAP / midpoint mean reversion,15m,frozen,rejected,2026-03-11,,1580.0,0.9736,-0.01617,0.03188,,0.4297,EURUSD 15m 2018-2024 MVP analysis,,,,no_edge_after_costs,docs/strategy_vwap_intraday_reversion.md,EURUSD 15m 2018-2024 MVP analysis,"Near break-even in places, still not promotable; family frozen."
EURUSD,vwap_session_open,VWAP / midpoint mean reversion,15m,frozen,rejected,2026-03-13,,,,,,,,EURUSD 15m 2018-2024 smoke backtest,,,,,docs/strategy_vwap_session_open.md,EURUSD 15m 2018-2024 smoke backtest,Session-open VWAP fade is frozen.
