strategy_name,archetype,pair,timeframe,status,promotion_status,impl,date_added,date_rejected,last_evaluation,notes
ny_impulse_mean_reversion,event-combination strategies,GBPUSD,15m,rejected,rejected,code,2026-03-10,,GBPUSD 15m 2018-2024 cross-pair robustness sweep,Cross-pair robustness batch showed GBPUSD below PF 1.0 in both historical and forward ranges.
ny_liquidity_sweep_reversal,session reversal / sweep reversal,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,NY sweep variant is frozen with the rest of the sweep-only tree.
range_midpoint_reversion,VWAP / midpoint mean reversion,EURUSD,15m,rejected,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Midpoint-reversion variant did not earn a live branch.
session_breakout,session breakout continuation,EURUSD,15m,frozen,rejected,code,2026-03-08,,EURUSD 15m 2018-2024 focused rerun + walk-forward,Even the best `07:00-08:00 UTC` + breakout-buffer refinement stayed negative in sample and OOS; freeze the continuation slot.
session_breakout_continuation,session breakout continuation,EURUSD,15m,exploratory,diagnostic,doc,2026-03-12,,EURUSD 15m 2018-2024 research mapping,"Archetype-level mapping doc; retained as reference, not as a license to keep spawning close variants."
session_liquidity_sweep_reversal,session reversal / sweep reversal,EURUSD,15m,rejected,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Session-specific sweep variant did not earn a continued branch.
session_vwap_reversion,VWAP / midpoint mean reversion,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Historical VWAP/session reversion branch; frozen.
trend_exhaustion_reversal,pattern-based reversal,EURUSD,15m,rejected,rejected,code,2026-03-12,,EURUSD 15m 2018-2024 smoke backtest,Reversal-style exhaustion setup did not survive testing.
tsmom_donchian,trend / momentum,EURUSD,1d,rejected,rejected,code,2026-03-13,,EURUSD 1d 2018-2024 walk-forward,Thin-sample breakout variant rejected in current form.
tsmom_ma_cross,trend / momentum,EURUSD,1d,rejected,rejected,code,2026-03-13,,EURUSD + GBPUSD 1d session-aligned walk-forward,Session-aware daily bars overturned the earlier exploratory GBPUSD strength; the narrow neighborhood now fails on both pairs.
tsmom_ma_cross,trend / momentum,GBPUSD,1d,rejected,rejected,code,2026-03-13,,EURUSD + GBPUSD 1d session-aligned walk-forward,Session-aware daily bars overturned the earlier exploratory GBPUSD strength; the narrow neighborhood now fails on both pairs.
tsmom_return_sign,trend / momentum,EURUSD,1d,rejected,rejected,code,2026-03-13,,EURUSD 1d 2018-2024 walk-forward; GBPUSD spot check,"Trend family remains active, but this variant still failed drawdown and concentration gates."
tsmom_return_sign,trend / momentum,GBPUSD,1d,rejected,rejected,code,2026-03-13,,EURUSD 1d 2018-2024 walk-forward; GBPUSD spot check,"Trend family remains active, but this variant still failed drawdown and concentration gates."
volatility_expansion_after_compression,event-combination strategies,EURUSD,15m,frozen,rejected,code,2026-03-12,,EURUSD 15m 2018-2024 diagnostic + MVP tests,Family investigated broadly and frozen after repeated failure.
vwap_band_reversion_filtered,VWAP / midpoint mean reversion,EURUSD,15m,frozen,rejected,doc,2026-03-12,,EURUSD 15m 2018-2024 diagnostics,Filtering did not change the conclusion; frozen.
vwap_intraday_reversion,VWAP / midpoint mean reversion,EURUSD,15m,frozen,rejected,code,2026-03-11,,EURUSD 15m 2018-2024 MVP analysis,"Near break-even in places, still not promotable; family frozen."
vwap_session_open,VWAP / midpoint mean reversion,EURUSD,15m,frozen,rejected,code,2026-03-13,,EURUSD 15m 2018-2024 smoke backtest,Session-open VWAP fade is frozen.
